Title,Author(s),Link
AI Wolf Contest — Development of Game AI Using Collective Intelligence,"Fujio Toriumi, Hirotaka OsawaMichimasa InabaDaisuke KatagamiKosuke ShinodaHitoshi Matsubara",https://link.springer.com/chapter/10.1007/978-3-319-57969-6_8
Improved Opponent Modeling in Poker,"Aaron Davidson, Darse Billings, Jonathan Schaeer, Duane Szafron",http://webdocs.cs.ualberta.ca/~duane/publications/pdf/2000icai.pdf
Monte-Carlo Tree Search: A New Framework for Game AI,"Guillaume Chaslot, Sander Bakkes, Istvan Szita, Pieter Spronck",https://www.aaai.org/Papers/AIIDE/2008/AIIDE08-036.pdf
AI takes on top poker players,Timothy Revell,https://www.sciencedirect.com/science/article/abs/pii/S0262407917301057
High-Level Language to Build Poker Agents,"Luís Paulo Reis, Pedro Mendes, Luís Filipe Teófilo, Henrique Lopes Cardoso",https://link.springer.com/chapter/10.1007/978-3-642-36981-0_59
Behavioral Mathematics for Game AI,Dave Mark,https://books.google.com.hk/books?hl=en&lr=&id=GbQLAAAAQBAJ&oi=fnd&pg=PR11&dq=AI+and+poker+game&ots=wRh_brtF10&sig=1cWNj4BYMPPHzVXQvw_1l_kzk5Y&redir_esc=y#v=onepage&q=AI%20and%20poker%20game&f=false
A Learning AI Algorithm for Poker with Embedded Opponent Modeling,"Seong-gon Kim, Yong-Gi Kim",http://www.dbpia.co.kr/pdf/pdfView?nodeId=NODE01526185
Card Game Bluff Decision Aided System,"Jacek Mazurkiewicz, Mateusz Pawelec",https://link.springer.com/chapter/10.1007/978-3-030-48256-5_42
Reality and Problem of AI in Poker Game: Focus on Texas Hold'em,"Han, Sukhee",https://www.koreascience.or.kr/article/JAKO201731063138335.page
Opponent modelling for case-based adaptive game AI,"Sander C.J. Bakkes, Pieter H.M. Spronck, H. Jaap van den Herik",https://www.sciencedirect.com/science/article/pii/S1875952109000044
Building a No Limit Texas Hold’em Poker Agent Based on Game Logs Using Supervised Learning,"Luís Filipe Teófilo, Luís Paulo Reis",https://link.springer.com/chapter/10.1007/978-3-642-21538-4_8
Adaptive Game AI,Pieter Spronck,http://lecturer.ukdw.ac.id/~mahas/dossier/gameng_12_read.pdf
"Bayes-Relational Learning of Opponent Models
from Incomplete Information in No-Limit Poker","Marc Ponsen, Jan Ramon, Tom Croonenborghs, Kurt Driessens, Karl Tuyls",https://www.aaai.org/Papers/AAAI/2008/AAAI08-244.pdf
Enhancing Animated Agents in an Instrumented Poker Game,"Marc Schröder, Patrick Gebhard, Marcela Charfuelan, Christoph Endres, Michael, KippSathish Pammi, Martin Rumpler, Oytun Türk",https://link.springer.com/chapter/10.1007/978-3-540-85845-4_39
Smooth UCT Search in Computer Poker,"Johannes Heinrich, David Silver",https://www.davidsilver.uk/wp-content/uploads/2020/03/smooth_uct.pdf
The geometry friends game AI competition,"R. Prada, P. Lopes, J. Catarino, J. Quitério, F. S. Melo",https://ieeexplore.ieee.org/abstract/document/7317949/
AI Game Playing Techniques ,Dana S. Nau,https://www.aaai.org/ojs/index.php/aimagazine/article/view/1444
